ORDNUM,ORDSTATUS,TOTAL,CUSNUM,ORDTIME,ORDTYPE,RESNUM
33,완료,4000,4,2019-05-20 22:41:54,테이크아웃,
34,완료,1500,,2019-05-23 15:08:37,테이크아웃,
35,완료,15000,2,2019-05-25 23:08:26,테이크아웃,
36,완료,17500,5,2019-05-26 10:24:21,테이크아웃,
37,완료,4500,5,2019-05-26 09:24:53,테이크아웃,
38,완료,8000,,2019-05-23 09:13:11,테이크아웃,
39,완료,4500,5,2019-05-26 15:55:34,테이크아웃,
40,완료,9000,,2019-05-21 09:08:23,매장,
41,완료,12000,,2019-05-20 17:59:23,테이크아웃,
42,완료,9000,5,2019-05-23 13:15:51,테이크아웃,
43,완료,22000,6,2019-05-23 13:51:40,테이크아웃,
44,완료,5500,5,2019-05-21 11:32:46,매장,
45,완료,10500,2,2019-05-21 13:03:36,테이크아웃,
46,완료,9000,,2019-05-21 22:55:30,테이크아웃,
47,완료,10500,7,2019-05-25 06:06:12,테이크아웃,
48,완료,4000,5,2019-05-23 13:16:26,테이크아웃,
49,완료,4000,,2019-05-25 15:57:45,테이크아웃,
50,완료,6000,3,2019-05-21 14:13:23,매장,
51,완료,27500,1,2019-05-26 12:31:59,테이크아웃,
52,완료,17000,1,2019-05-21 08:39:32,테이크아웃,
53,완료,12000,2,2019-05-26 13:48:54,테이크아웃,
54,완료,7500,,2019-05-26 13:33:27,테이크아웃,
55,완료,11000,,2019-05-23 19:47:40,테이크아웃,
56,완료,8000,3,2019-05-21 17:48:17,매장,
57,완료,3000,2,2019-05-22 16:59:30,테이크아웃,
58,완료,4500,6,2019-05-26 13:53:18,테이크아웃,
59,완료,7000,,2019-05-21 13:21:04,테이크아웃,
60,완료,3500,4,2019-05-25 13:27:34,테이크아웃,
61,완료,6000,3,2019-05-26 12:28:32,테이크아웃,
62,완료,5500,7,2019-05-20 10:07:41,테이크아웃,
63,완료,26000,,2019-05-26 13:09:39,테이크아웃,
64,완료,21000,6,2019-05-23 16:55:07,테이크아웃,
65,완료,16500,7,2019-05-23 08:44:07,테이크아웃,
66,완료,11000,7,2019-05-25 14:25:16,테이크아웃,
67,완료,13000,,2019-05-26 22:35:33,테이크아웃,
68,완료,7000,4,2019-05-20 15:48:34,테이크아웃,
69,완료,10000,,2019-05-26 06:40:32,매장,
70,완료,5000,2,2019-05-20 22:43:47,매장,
71,완료,2000,6,2019-05-26 23:54:12,테이크아웃,
72,완료,16000,1,2019-05-25 21:03:38,테이크아웃,
73,완료,16500,,2019-05-21 15:13:40,테이크아웃,
74,완료,21500,8,2019-05-26 10:18:55,테이크아웃,
75,완료,10500,7,2019-05-26 14:29:48,매장,
76,완료,21000,,2019-05-26 12:09:56,테이크아웃,
77,완료,17000,9,2019-05-22 06:15:50,테이크아웃,
78,완료,5000,,2019-05-25 11:57:07,매장,
79,완료,6000,10,2019-05-26 15:09:33,테이크아웃,
80,완료,11500,,2019-05-22 20:51:44,매장,
81,완료,9500,10,2019-05-26 17:04:39,테이크아웃,
82,완료,12000,,2019-05-25 14:35:18,테이크아웃,
83,완료,16500,,2019-05-20 12:55:31,매장,
84,완료,10000,,2019-05-26 12:56:19,테이크아웃,
85,완료,12000,8,2019-05-26 16:27:47,테이크아웃,
86,완료,16500,6,2019-05-26 07:43:22,테이크아웃,
87,완료,9000,4,2019-05-21 08:28:47,테이크아웃,
88,완료,6000,10,2019-05-23 23:05:06,테이크아웃,
89,완료,19000,1,2019-05-23 15:18:45,매장,
90,완료,4000,5,2019-05-21 14:50:28,테이크아웃,
91,완료,21500,,2019-05-20 12:47:59,테이크아웃,
92,완료,8000,8,2019-05-21 20:42:20,매장,
93,완료,27000,,2019-05-25 09:23:46,매장,
94,완료,3000,10,2019-05-21 23:27:25,매장,
95,완료,6000,6,2019-05-22 15:56:02,테이크아웃,
96,완료,7000,5,2019-05-20 07:35:02,테이크아웃,
97,취소,15000,4,2019-05-23 06:55:07,테이크아웃,
98,완료,2500,8,2019-05-26 15:19:49,테이크아웃,
99,완료,24000,7,2019-05-22 15:07:44,테이크아웃,
100,완료,9000,5,2019-05-22 22:19:26,매장,
101,완료,27500,6,2019-05-21 13:15:57,매장,
102,완료,4500,11,2019-05-22 23:43:45,매장,
103,완료,22500,12,2019-05-26 08:31:53,매장,
104,완료,13000,4,2019-05-21 10:07:05,매장,
105,완료,21500,8,2019-05-26 21:14:05,매장,
106,완료,3000,7,2019-05-26 15:49:27,테이크아웃,
107,완료,12000,,2019-05-26 11:12:34,테이크아웃,
108,완료,4000,10,2019-05-25 10:36:32,테이크아웃,
109,완료,6000,4,2019-05-21 12:58:21,테이크아웃,
110,완료,27000,,2019-05-22 11:23:49,테이크아웃,
111,완료,7000,,2019-05-22 12:29:53,매장,
112,완료,27000,10,2019-05-20 16:14:45,테이크아웃,
113,완료,16500,3,2019-05-21 11:41:15,테이크아웃,
114,완료,26000,,2019-05-26 06:00:53,테이크아웃,
115,완료,8000,2,2019-05-21 10:49:42,테이크아웃,
116,완료,4500,,2019-05-20 13:30:26,테이크아웃,
117,완료,4500,13,2019-05-20 11:11:41,테이크아웃,
118,완료,7500,,2019-05-25 08:40:26,테이크아웃,
119,완료,3500,,2019-05-22 12:28:36,매장,
120,완료,4000,5,2019-05-26 11:39:54,테이크아웃,
121,완료,24500,8,2019-05-21 01:38:42,테이크아웃,
122,완료,6000,1,2019-05-23 06:37:55,테이크아웃,
123,완료,13000,,2019-05-26 13:51:12,테이크아웃,
124,완료,23500,5,2019-05-21 07:49:22,매장,
125,완료,4000,12,2019-05-25 18:33:36,매장,
126,완료,19000,7,2019-05-21 17:19:59,테이크아웃,
127,완료,15000,13,2019-05-21 06:15:12,매장,
128,완료,7000,11,2019-05-21 20:57:18,테이크아웃,
129,완료,5000,8,2019-05-20 17:59:54,테이크아웃,
130,완료,9000,,2019-05-20 12:13:40,테이크아웃,
131,완료,1500,,2019-05-21 14:21:33,매장,
132,완료,5000,14,2019-05-26 15:15:51,테이크아웃,
133,취소,15000,15,2019-05-22 12:57:29,테이크아웃,
134,완료,11000,11,2019-05-25 23:15:02,테이크아웃,
135,완료,10000,,2019-05-20 12:56:50,테이크아웃,
136,완료,5500,,2019-05-26 23:40:34,테이크아웃,
137,완료,12000,6,2019-05-23 16:27:55,테이크아웃,
138,완료,24000,,2019-05-25 08:10:37,테이크아웃,
139,완료,21500,4,2019-05-26 10:30:07,매장,
140,완료,15000,2,2019-05-20 16:30:02,테이크아웃,
141,완료,1500,,2019-05-21 10:40:01,테이크아웃,
142,완료,16500,16,2019-05-21 11:30:52,매장,
143,완료,12000,4,2019-05-23 09:23:45,테이크아웃,
144,완료,8000,,2019-05-21 15:13:05,매장,
145,완료,12000,7,2019-05-26 11:45:15,테이크아웃,
146,완료,4500,16,2019-05-20 11:56:53,테이크아웃,
147,완료,3000,4,2019-05-23 14:31:52,테이크아웃,
148,완료,10000,,2019-05-23 19:34:50,테이크아웃,
149,완료,1500,,2019-05-26 16:53:05,테이크아웃,
150,완료,5000,,2019-05-22 22:39:44,테이크아웃,
151,완료,5500,,2019-05-22 08:23:17,테이크아웃,
152,완료,8000,11,2019-05-25 14:43:31,매장,
153,완료,4500,17,2019-05-21 18:40:40,매장,
154,완료,8000,18,2019-05-23 23:40:22,테이크아웃,
155,완료,4000,16,2019-05-26 08:34:37,테이크아웃,
156,완료,3000,,2019-05-26 19:02:14,테이크아웃,
157,완료,6000,17,2019-05-26 12:58:32,매장,
158,완료,12000,11,2019-05-26 14:28:01,테이크아웃,
159,완료,2000,7,2019-05-20 13:39:24,테이크아웃,
160,완료,2500,,2019-05-25 17:57:05,매장,
161,완료,2500,,2019-05-26 11:08:04,테이크아웃,
162,취소,5500,9,2019-05-21 12:06:53,테이크아웃,
163,완료,5500,,2019-05-23 14:00:54,테이크아웃,
164,완료,15000,1,2019-05-26 15:50:16,매장,
165,완료,3000,13,2019-05-26 13:45:29,매장,
166,완료,8000,14,2019-05-25 22:47:24,테이크아웃,
167,완료,8000,6,2019-05-20 10:28:14,매장,
168,완료,17000,,2019-05-22 16:53:21,테이크아웃,
169,취소,10500,,2019-05-26 13:56:47,매장,
170,완료,11000,,2019-05-20 14:43:01,테이크아웃,
171,완료,5000,7,2019-05-20 15:48:16,매장,
172,완료,19500,,2019-05-21 21:28:57,테이크아웃,
173,완료,8000,16,2019-05-21 15:08:44,매장,
174,취소,22500,,2019-05-22 15:54:24,테이크아웃,
175,완료,2500,12,2019-05-25 14:30:46,테이크아웃,
176,완료,8000,19,2019-05-22 12:07:09,테이크아웃,
177,완료,8000,14,2019-05-26 16:25:52,테이크아웃,
178,완료,16500,,2019-05-26 08:54:45,테이크아웃,
179,완료,4000,,2019-05-22 21:46:00,매장,
180,완료,5500,,2019-05-20 10:33:41,테이크아웃,
181,완료,4500,11,2019-05-22 12:26:16,테이크아웃,
182,완료,6500,18,2019-05-21 14:32:10,테이크아웃,
183,완료,9000,17,2019-05-22 16:24:58,테이크아웃,
184,완료,16500,11,2019-05-20 06:07:38,매장,
185,취소,4000,4,2019-05-20 12:11:02,테이크아웃,
186,완료,3000,7,2019-05-20 15:24:09,테이크아웃,
187,완료,15000,,2019-05-23 07:56:10,테이크아웃,
188,완료,2000,5,2019-05-26 23:16:16,테이크아웃,
189,완료,14000,,2019-05-21 23:34:04,테이크아웃,
190,완료,4000,,2019-05-22 15:36:14,테이크아웃,
191,완료,6000,15,2019-05-25 13:48:39,매장,
192,완료,12000,18,2019-05-25 07:00:15,테이크아웃,
193,완료,1500,,2019-05-23 10:05:26,매장,
194,완료,3000,,2019-05-26 15:49:46,테이크아웃,
195,완료,3000,17,2019-05-25 08:42:07,매장,
196,완료,11000,,2019-05-23 17:25:07,테이크아웃,
197,완료,9000,,2019-05-23 11:15:34,테이크아웃,
198,완료,14000,19,2019-05-22 14:35:57,테이크아웃,
199,완료,10000,,2019-05-20 22:18:14,매장,
200,완료,3000,16,2019-05-21 10:57:06,테이크아웃,
201,완료,16000,,2019-05-25 19:05:26,매장,
202,완료,11000,8,2019-05-23 11:43:52,테이크아웃,
203,완료,12000,3,2019-05-20 13:32:27,테이크아웃,
204,완료,4500,13,2019-05-22 14:37:20,매장,
205,완료,2000,14,2019-05-26 23:25:08,매장,
206,완료,9000,19,2019-05-23 16:04:59,매장,
207,완료,16500,,2019-05-20 21:12:47,테이크아웃,
208,완료,8000,1,2019-05-26 16:51:10,테이크아웃,
209,완료,10500,,2019-05-26 14:39:28,매장,
210,완료,12000,3,2019-05-21 20:20:32,테이크아웃,
211,완료,16500,4,2019-05-22 15:22:01,매장,
212,완료,5500,13,2019-05-20 15:22:47,매장,
213,완료,15500,1,2019-05-23 12:01:50,테이크아웃,
214,완료,5500,14,2019-05-20 15:08:06,매장,
215,완료,4500,14,2019-05-20 12:55:36,테이크아웃,
216,완료,5500,2,2019-05-26 20:46:33,테이크아웃,
217,완료,8000,20,2019-05-22 18:13:34,매장,
218,완료,18000,21,2019-05-23 22:58:51,테이크아웃,
219,완료,1500,,2019-05-25 11:40:08,테이크아웃,
220,완료,16500,9,2019-05-20 15:11:13,테이크아웃,
221,완료,23500,13,2019-05-20 15:01:16,테이크아웃,
222,완료,7500,1,2019-05-20 14:42:17,매장,
223,완료,6000,,2019-05-26 15:22:57,테이크아웃,
224,완료,8000,2,2019-05-22 12:28:24,테이크아웃,
225,완료,9000,,2019-05-20 23:45:01,테이크아웃,
226,완료,12000,13,2019-05-22 13:22:46,테이크아웃,
227,완료,4500,13,2019-05-21 14:00:58,테이크아웃,
228,완료,4500,22,2019-05-20 21:03:48,테이크아웃,
229,완료,10500,23,2019-05-25 11:27:04,매장,
230,완료,10500,20,2019-05-20 19:30:01,테이크아웃,
231,완료,16500,,2019-05-23 14:00:08,테이크아웃,
232,완료,10500,24,2019-05-20 23:29:23,테이크아웃,
233,완료,2500,7,2019-05-26 15:21:29,매장,
234,완료,20000,,2019-05-23 15:57:14,테이크아웃,
235,완료,12000,,2019-05-26 07:11:17,매장,
236,완료,32000,7,2019-05-26 16:16:51,테이크아웃,
237,완료,4000,,2019-05-26 21:25:53,테이크아웃,
238,완료,9000,24,2019-05-21 16:23:24,테이크아웃,
239,완료,12500,8,2019-05-26 16:26:36,테이크아웃,
240,완료,8000,21,2019-05-25 16:29:09,매장,
241,완료,4000,25,2019-05-22 09:06:20,매장,
242,완료,11000,25,2019-05-22 06:30:20,테이크아웃,
243,완료,5000,20,2019-05-26 06:24:24,테이크아웃,
244,완료,1500,,2019-05-26 22:28:31,매장,
245,완료,7000,,2019-05-20 09:53:37,테이크아웃,
246,완료,16500,,2019-05-23 13:14:58,테이크아웃,
247,완료,24000,,2019-05-22 22:49:33,테이크아웃,
248,완료,12000,,2019-05-26 10:55:23,테이크아웃,
249,완료,10500,10,2019-05-20 16:22:44,테이크아웃,
250,완료,13500,13,2019-05-23 16:38:35,매장,
251,완료,4000,,2019-05-20 11:36:54,매장,
252,완료,11000,,2019-05-20 13:46:14,매장,
253,완료,6000,13,2019-05-22 08:30:31,매장,
254,완료,3000,14,2019-05-25 17:50:59,매장,
255,완료,11500,,2019-05-21 18:30:03,테이크아웃,
256,완료,2000,9,2019-05-21 09:30:00,테이크아웃,
257,완료,2500,,2019-05-23 13:58:08,테이크아웃,
258,완료,3500,4,2019-05-22 16:47:26,테이크아웃,
259,완료,10000,14,2019-05-21 22:29:39,테이크아웃,
260,취소,12000,5,2019-05-21 22:20:59,테이크아웃,
261,완료,10000,1,2019-05-21 07:06:22,매장,
262,취소,16500,15,2019-05-26 21:05:13,테이크아웃,
263,완료,19500,8,2019-05-20 11:13:40,테이크아웃,
264,완료,3000,9,2019-05-21 16:47:56,매장,
265,완료,22500,4,2019-05-26 14:56:53,테이크아웃,
266,완료,9000,11,2019-05-21 14:11:50,테이크아웃,
267,완료,5000,4,2019-05-22 08:50:48,테이크아웃,
268,완료,2000,3,2019-05-20 13:53:46,테이크아웃,
269,완료,19500,,2019-05-26 14:00:25,테이크아웃,
270,완료,9500,8,2019-05-22 16:25:35,매장,
271,완료,1500,12,2019-05-26 22:05:46,테이크아웃,
272,취소,1500,18,2019-05-26 13:06:13,테이크아웃,
273,완료,17000,14,2019-05-25 15:57:42,매장,
274,완료,12000,19,2019-05-26 15:21:45,매장,
275,완료,19000,,2019-05-26 10:31:48,테이크아웃,
276,완료,3000,1,2019-05-26 11:37:26,테이크아웃,
277,완료,4000,,2019-05-22 22:19:16,테이크아웃,
278,완료,8000,17,2019-05-21 15:22:53,테이크아웃,
279,완료,7000,,2019-05-26 06:46:44,테이크아웃,
280,완료,16500,,2019-05-20 11:56:24,매장,
281,완료,5500,2,2019-05-21 19:05:07,매장,
282,완료,3000,14,2019-05-21 12:00:15,테이크아웃,
283,완료,31500,18,2019-05-22 13:28:26,테이크아웃,
284,완료,8000,,2019-05-25 06:40:38,테이크아웃,
285,완료,26500,8,2019-05-22 18:37:55,테이크아웃,
286,완료,2500,21,2019-05-26 11:51:33,매장,
287,완료,6000,26,2019-05-21 10:16:34,테이크아웃,
288,완료,11000,24,2019-05-21 22:01:36,테이크아웃,
289,완료,4500,,2019-05-21 15:30:44,테이크아웃,
290,완료,9000,27,2019-05-25 06:58:32,테이크아웃,
291,완료,11000,27,2019-05-22 19:50:32,테이크아웃,
292,완료,9000,14,2019-05-26 23:43:10,매장,
293,완료,3000,,2019-05-22 07:05:38,매장,
294,완료,15500,27,2019-05-25 17:16:05,테이크아웃,
295,완료,12000,14,2019-05-21 13:28:52,테이크아웃,
296,완료,14500,10,2019-05-26 16:12:39,테이크아웃,
297,완료,14000,10,2019-05-20 07:09:11,테이크아웃,
298,완료,6000,10,2019-05-22 22:55:35,테이크아웃,
299,완료,4000,,2019-05-21 15:51:27,매장,
300,완료,3500,28,2019-05-20 16:35:08,테이크아웃,
301,완료,6000,15,2019-05-21 13:34:08,테이크아웃,
302,완료,7000,,2019-05-21 14:06:17,매장,
303,완료,7500,26,2019-05-26 23:06:12,매장,
304,완료,16000,25,2019-05-20 13:36:12,테이크아웃,
305,완료,11000,,2019-05-21 13:59:27,테이크아웃,
306,완료,15000,2,2019-05-26 23:31:41,매장,
307,완료,6000,16,2019-05-22 11:59:16,테이크아웃,
308,완료,3000,,2019-05-21 16:58:12,매장,
309,완료,3500,,2019-05-20 18:31:15,테이크아웃,
310,완료,5000,27,2019-05-26 11:19:38,매장,
311,완료,12500,15,2019-05-21 17:31:29,매장,
312,완료,12000,29,2019-05-20 14:00:24,테이크아웃,
313,완료,4500,29,2019-05-26 06:39:20,매장,
314,완료,2000,,2019-05-25 07:34:20,테이크아웃,
315,완료,2500,20,2019-05-25 12:17:27,테이크아웃,
316,완료,16500,,2019-05-20 17:51:21,매장,
317,완료,5500,,2019-05-23 14:53:14,테이크아웃,
318,완료,8000,26,2019-05-22 18:09:32,테이크아웃,
319,완료,16500,5,2019-05-22 10:16:31,테이크아웃,
320,완료,5500,5,2019-05-20 22:15:25,테이크아웃,
321,완료,4500,23,2019-05-22 11:54:46,테이크아웃,
322,완료,4000,25,2019-05-21 11:47:16,매장,
323,완료,4500,,2019-05-20 13:11:09,테이크아웃,
324,완료,3000,28,2019-05-20 06:31:48,테이크아웃,
325,완료,9000,,2019-05-23 16:50:39,테이크아웃,
326,완료,17000,20,2019-05-25 17:22:10,테이크아웃,
327,완료,8000,,2019-05-26 11:53:28,테이크아웃,
328,완료,16500,,2019-05-26 11:18:25,테이크아웃,
329,완료,1500,,2019-05-22 10:11:56,매장,
330,완료,10000,28,2019-05-20 12:57:08,매장,
331,완료,29500,12,2019-05-21 13:00:13,테이크아웃,
332,완료,9000,24,2019-05-26 11:18:50,매장,
333,완료,23000,8,2019-05-26 23:32:54,테이크아웃,
334,완료,4000,15,2019-05-22 12:46:14,매장,
335,완료,6000,29,2019-05-22 18:37:42,테이크아웃,
336,완료,10500,,2019-05-21 13:30:58,매장,
337,완료,5000,11,2019-05-22 23:06:05,매장,
338,완료,14500,,2019-05-26 18:04:47,테이크아웃,
339,완료,3000,29,2019-05-20 12:53:02,테이크아웃,
340,완료,3000,,2019-05-26 19:05:37,테이크아웃,
341,완료,4500,13,2019-05-23 18:08:30,테이크아웃,
342,완료,11000,,2019-05-22 17:40:27,테이크아웃,
343,완료,4500,14,2019-05-20 17:00:25,매장,
344,완료,12000,,2019-05-25 22:23:39,테이크아웃,
345,완료,12000,,2019-05-22 19:20:47,매장,
346,완료,4000,30,2019-05-20 13:18:44,매장,
347,완료,3000,,2019-05-23 06:52:25,매장,
348,완료,2500,3,2019-05-23 23:43:09,테이크아웃,
349,취소,5000,9,2019-05-22 12:55:56,매장,
350,완료,11000,2,2019-05-21 11:44:11,매장,
351,완료,9000,2,2019-05-23 07:50:28,테이크아웃,
352,완료,15000,,2019-05-21 19:40:33,테이크아웃,
353,완료,5000,17,2019-05-21 07:34:09,테이크아웃,
354,완료,7500,27,2019-05-26 15:19:16,테이크아웃,
355,완료,4000,,2019-05-26 15:47:21,매장,
356,완료,1500,15,2019-05-22 12:21:42,매장,
357,완료,4000,,2019-05-21 23:14:36,테이크아웃,
358,취소,8000,3,2019-05-22 10:36:17,테이크아웃,
359,완료,12000,15,2019-05-26 09:55:36,매장,
360,완료,8000,9,2019-05-26 23:52:09,테이크아웃,
361,완료,21500,8,2019-05-25 14:43:29,테이크아웃,
362,완료,8000,11,2019-05-23 15:12:06,테이크아웃,
363,완료,4000,,2019-05-22 20:52:51,테이크아웃,
364,완료,3000,10,2019-05-26 15:06:32,테이크아웃,
365,완료,16500,,2019-05-23 21:59:19,테이크아웃,
366,완료,8000,27,2019-05-20 15:02:31,매장,
367,완료,1500,15,2019-05-23 11:22:25,매장,
368,완료,10000,7,2019-05-22 16:04:37,테이크아웃,
369,취소,7000,23,2019-05-22 15:37:27,테이크아웃,
370,완료,5000,7,2019-05-21 06:31:59,테이크아웃,
371,완료,22000,2,2019-05-23 20:17:59,테이크아웃,
372,완료,32500,,2019-05-23 08:07:40,테이크아웃,
373,완료,6000,,2019-05-22 06:52:22,매장,
374,완료,11000,31,2019-05-25 15:34:00,매장,
375,완료,9000,,2019-05-23 10:57:27,테이크아웃,
376,완료,8000,,2019-05-25 11:36:08,테이크아웃,
377,완료,17500,,2019-05-21 19:41:50,테이크아웃,
378,완료,4000,16,2019-05-21 22:52:25,테이크아웃,
379,완료,3000,24,2019-05-20 12:20:21,테이크아웃,
380,완료,8000,7,2019-05-22 14:58:03,테이크아웃,
381,완료,3000,13,2019-05-21 21:00:18,매장,
382,완료,12000,19,2019-05-22 14:04:33,테이크아웃,
383,완료,8000,30,2019-05-25 02:24:11,테이크아웃,
384,완료,11000,,2019-05-21 21:03:38,매장,
385,완료,4000,32,2019-05-20 15:42:46,테이크아웃,
386,완료,19000,2,2019-05-20 07:16:38,테이크아웃,
387,완료,3000,27,2019-05-26 09:27:46,테이크아웃,
388,완료,2000,29,2019-05-20 07:26:22,테이크아웃,
389,완료,5500,,2019-05-25 12:29:32,매장,
390,완료,4000,4,2019-05-21 08:08:59,테이크아웃,
391,완료,16500,,2019-05-22 13:52:51,매장,
392,완료,9000,33,2019-05-20 12:49:49,테이크아웃,
393,완료,29500,32,2019-05-23 11:01:44,매장,
394,완료,8000,32,2019-05-26 13:29:20,매장,
395,완료,1500,31,2019-05-21 18:49:20,테이크아웃,
396,완료,12000,20,2019-05-20 21:03:27,매장,
397,완료,10000,,2019-05-20 12:40:56,테이크아웃,
398,완료,10000,,2019-05-25 11:26:58,테이크아웃,
399,완료,15000,1,2019-05-23 16:05:14,테이크아웃,
400,완료,3000,34,2019-05-20 21:45:21,테이크아웃,
401,완료,12000,24,2019-05-22 09:11:59,매장,
402,완료,11000,35,2019-05-22 12:38:02,테이크아웃,
403,완료,8000,36,2019-05-21 19:23:56,테이크아웃,
404,완료,15000,16,2019-05-21 15:02:59,테이크아웃,
405,완료,5000,,2019-05-21 15:24:17,테이크아웃,
406,완료,8500,27,2019-05-26 16:15:24,테이크아웃,
407,완료,11000,,2019-05-22 06:54:43,테이크아웃,
408,완료,8000,,2019-05-22 12:23:15,테이크아웃,
409,완료,15000,21,2019-05-20 15:28:14,테이크아웃,
410,완료,10500,18,2019-05-22 14:45:39,테이크아웃,
411,완료,11000,,2019-05-25 09:06:47,테이크아웃,
412,완료,2500,,2019-05-26 13:04:25,테이크아웃,
413,완료,17500,,2019-05-26 09:27:54,매장,
414,취소,4500,33,2019-05-26 22:02:50,테이크아웃,
415,완료,16500,10,2019-05-23 11:18:39,테이크아웃,
416,완료,24500,3,2019-05-22 10:55:31,테이크아웃,
417,완료,16500,36,2019-05-20 11:10:01,매장,
418,완료,6000,37,2019-05-21 20:38:18,매장,
419,완료,4000,19,2019-05-21 14:18:02,테이크아웃,
420,완료,10000,21,2019-05-25 11:22:44,테이크아웃,
421,완료,1500,21,2019-05-25 10:02:15,매장,
422,완료,28000,,2019-05-26 09:58:08,테이크아웃,
423,완료,14000,15,2019-05-25 06:48:46,테이크아웃,
424,완료,5000,,2019-05-22 07:08:04,테이크아웃,
425,완료,4000,,2019-05-20 19:02:17,테이크아웃,
426,완료,10000,27,2019-05-25 09:13:18,매장,
427,완료,12000,27,2019-05-20 17:37:52,테이크아웃,
428,완료,7000,24,2019-05-20 15:25:50,매장,
429,완료,4000,28,2019-05-20 10:42:04,테이크아웃,
430,완료,5000,9,2019-05-20 11:45:46,테이크아웃,
431,완료,6000,7,2019-05-21 21:04:14,테이크아웃,
432,완료,5500,,2019-05-26 09:26:48,테이크아웃,
433,완료,5500,25,2019-05-23 21:42:44,매장,
434,완료,4000,,2019-05-26 10:12:54,매장,
435,완료,3000,15,2019-05-20 16:43:18,테이크아웃,
436,완료,16500,38,2019-05-21 16:07:51,테이크아웃,
437,완료,5000,,2019-05-22 21:12:11,테이크아웃,
438,완료,3000,30,2019-05-21 13:56:33,테이크아웃,
439,완료,5500,31,2019-05-25 11:28:29,테이크아웃,
440,완료,15000,,2019-05-20 22:35:36,테이크아웃,
441,완료,7000,22,2019-05-25 10:43:57,테이크아웃,
442,완료,1500,31,2019-05-26 13:56:45,테이크아웃,
443,완료,3500,31,2019-05-20 13:42:18,테이크아웃,
444,취소,6000,6,2019-05-22 19:53:32,매장,
445,완료,3000,2,2019-05-22 23:35:41,테이크아웃,
446,완료,7500,,2019-05-26 11:35:58,테이크아웃,
447,완료,9000,13,2019-05-25 13:33:45,매장,
448,완료,8000,,2019-05-23 09:41:32,테이크아웃,
449,완료,11000,,2019-05-25 11:34:58,매장,
450,완료,25500,34,2019-05-22 20:35:26,테이크아웃,
451,완료,13000,,2019-05-23 23:27:24,매장,
452,완료,32500,26,2019-05-26 06:11:40,테이크아웃,
453,완료,10500,35,2019-05-26 13:45:13,테이크아웃,
454,완료,2500,37,2019-05-20 12:30:41,매장,
455,완료,1500,14,2019-05-26 13:59:17,매장,
456,완료,3000,,2019-05-23 09:18:36,테이크아웃,
457,완료,5500,32,2019-05-25 16:42:12,테이크아웃,
458,취소,2000,,2019-05-25 11:13:02,테이크아웃,
459,완료,6000,30,2019-05-21 12:52:49,매장,
460,완료,15000,,2019-05-20 08:07:00,매장,
461,완료,5000,16,2019-05-26 08:30:07,테이크아웃,
462,완료,15000,31,2019-05-21 15:02:22,테이크아웃,
463,취소,12000,21,2019-05-26 18:33:00,매장,
464,완료,12000,25,2019-05-22 19:28:57,테이크아웃,
465,완료,12000,,2019-05-23 14:12:11,매장,
466,완료,4000,,2019-05-25 12:23:53,테이크아웃,
467,완료,10500,,2019-05-26 07:23:18,테이크아웃,
468,완료,7000,7,2019-05-25 11:26:11,테이크아웃,
469,완료,3000,12,2019-05-25 11:49:41,매장,
470,완료,3000,5,2019-05-22 13:17:15,테이크아웃,
471,완료,8000,,2019-05-26 06:54:49,테이크아웃,
